AAF;IFN-alpha activation factor;AAF$CONS;6
AP-3 (2);AP-3 (2),AP3;MOUSE$IL2_07;2;G000533
AP-3 (2);AP-3 (2),AP3;MOUSE$IL2_08;2;G000533
AP-3 (2);AP-3 (2),AP3;SV$SV40_27;6;G000836
AP-3 (2);AP-3 (2),AP3;SV$SV40_30;6;G000836
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;AR$CONS_01;6
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;AS$AR_26;5
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$CCND1_54;3;G001154
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$CCND1_57;3;G001154
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$CDC6_03;2;G001725
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$CDKN1A_14;6;G001161
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$CSPG2_11;1;G031872
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$ELK4_02;2;G007337
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$ELK4_03;2;G007337
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$F2R_02;3;G003175
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$FIX_04;4;G000256
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$IGF1_03;2;G014210
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$IGF1_04;2;G014210
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$IGFBP3_04;4;G002856
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$KLK3_01;2;G007182
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$KLK3_04;4;G007182
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$KLK3_11;4;G007182
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$KLK3_19;2;G007182
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$KLK3_20;3;G007182
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$KLK4_02;3;G047175
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$MMP2_12;5;G002915
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$MMP2_13;5;G002915
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$NKX31_02;2;G004029
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$NKX31_03;2;G004029
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$PIGR_01;4;G008979
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$RARA_05;2;G004665
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$SERPINB5_05;3;G018230
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$SERPINB5_06;3;G018230
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$SRD5A3_01;3;G048795
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$TGFB1_18;2;G000396
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$ZEB1_13;3;G004664
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;HS$ZEB1_14;3;G004664
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;MOUSE$AKR1B7_01;4;G008984
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;MOUSE$C4A_07;6;G000604
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;MOUSE$C4A_10;6;G000604
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;MOUSE$SVS6_01;6;G008992
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;RAT$CEACAM1_03;1;G021802
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;RAT$SCGB2A2_01;2;G057244
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4,TFM;AR$CONS_01;6
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;AR$CONS_01;6
AR;androgen receptor,AR,dihydrotestosterone receptor,NR3C4;AR$CONS_02;6
ARG80;ARGR1,ARGRI,YMR042W;HS$FOS_09;2;G000218
ARG80;ARGR1,ARGRI,YMR042W;Y$ARG56_01;2;6
ARG81;ARGR2,ARGRII,YML099C;Y$ARG56_01;2;6
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;AS$ARP1_01;6
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;AS$ARP1_02;6
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;AS$ARP1_03;6
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;AS$ARP1_04;6
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;AS$ARP1_05;6
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;AS$ARP1_06;6
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;AS$ARP1_07;6
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;BOVIN$ATPA_04;3;G001024
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;CHICK$OA_02;6;G000071
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$APOA1_01;6;G000203
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$APOB_01;6;G000205
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$APOB_41;3;G000205
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$APOB_42;4;G000205
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$APOC2_08;4;G001152
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$APOC3_07;4;G000206
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$CETP_10;3;G001036
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$CYP11B2_01;3;G042191
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$CYP11B2_08;5;G042191
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$CYP7A1_15;3;G001193
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$FIX_07;3;G000256
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$FIX_08;3;G000256
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$HNF4A_04;3;G001926
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$NR3C1_07;5;G000268
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;HS$NTS_04;3;G009322
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;MOUSE$MOS_01;3;G006428
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;MOUSE$PROX1_01;5;G052998
COUP-TF2;apolipoprotein AI regulatory protein,Apolipoprotein Repressor Protein 1,ARP-1,COUP-beta,COUP-TF II,NR2F2;RAT$INS_04;6;G000761
ATBF1-B;AT motif binding factor 1B,ATBF1;HS$AFP_01;1;G000192
ATF;ATF,yATF;AD$E4_16;4;G000008
ATF;ATF,yATF;HS$GHA_02;4;G000271
ATF;ATF,yATF;RAT$TH_02;4;G000800
ATF;ATF,yATF;Y$LPD1_02;4;G000942
atf1;ATF,Atf1,MTS1,SSS1;AD$E4_06;2;G000008
atf1;ATF,Atf1,MTS1,SSS1;AD$E4_16;4;G000008
atf1;ATF,Atf1,MTS1,SSS1;FY$CTA3_02;3;G053398
atf1;ATF,Atf1,MTS1,SSS1;FY$GPD1_01;5;G091719
ATF;ATF;AD$E2AE1_07;4;G000005
ATF;ATF;AD$E3_05;2;G000007
ATF;ATF;AD$E4_04;2;G000008
ATF;ATF;AD$E4_06;2;G000008
ATF;ATF;AD$E4_13;2;G000008
ATF;ATF;AD$E4_14;2;G000008
ATF;ATF;AD$E4_16;4;G000008
ATF;ATF;AD$E4_23;2;G000008
ATF;ATF;AD$E4_25;2;G000008
ATF;ATF;AD5$E1A_14;5;G000003
ATF;ATF;AD5$E1A_16;5;G000003
ATF;ATF;AD5$E1A_21;5;G000003
ATF;ATF;AS$ATF_01;6
ATF;ATF;AS$ATF_02;6
ATF;ATF;AS$ATF_03;6
ATF;ATF;AS$ATF_30;3
ATF;ATF;ATF$CONS_01;1
ATF;ATF;HCMV$IE1_21;4;G000165
ATF;ATF;HS$CYCA_03;5;G001155
ATF;ATF;HS$CYP11B2_10;3;G042191
ATF;ATF;HS$FOS_11;2;G000218
ATF;ATF;HS$GHA_02;4;G000271
ATF;ATF;HS$PTGS2_08;5;G001237
ATF;ATF;HS$RB1_10;5;G001086
ATF;ATF;HS$RN7SL_01;2;G000178
ATF;ATF;HS$SST_01;4;G031553
ATF;ATF;HS$TNF_25;4;G000400
ATF;ATF;HS$VIP_04;4;G000417
ATF;ATF;MOUSE$CEBPB_02;3;G005928
ATF;ATF;MOUSE$M1H2KB_01;5;G000561
ATF;ATF;MOUSE$M1H2KB_10;5;G000561
ATF;ATF;MOUSE$SURF2_01;4;G000608
ATF;ATF;RAT$CYCS_01;4;G000732
ATF;ATF;RAT$TH_02;4;G000800
ATF-a;Activating Transcription Factor a,ATF-a,ATF-a2;AD$E2AE1_07;4;G000005
ATF-a;Activating Transcription Factor a,ATF-a,ATF-a2;ATF$CONS_01;6
ATFa-isoform1;activating transcription factor 7,ATF-a,ATF7,ATFA;ATF$CONS_01;6
ATF-like;ATF-like;AD$E3_05;4;G000007
ATF-like;ATF-like;ATF$CONS_01;6
ATF-like;ATF-like;XENLA$H2B_01;4;G000855
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;ABF1$CONS;6
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;AS$ABF1_01;6
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;AS$ABF1_39;2
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;BAF1$CONS;6
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;Y$ACS1_05;6;G002953
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;Y$ACS1_06;6;G002953
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;Y$ACS1_07;6;G002953
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;Y$ARS120_01;6;G000879
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;Y$CHA1_04;5;G000894
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;Y$FAS1_03;4;G004042
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;Y$HOP1_02;6;G002983
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;Y$HSP12_01;6;G004099
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;Y$RPC160_01;3;G000970
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;Y$RPC40_01;3;G000971
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;Y$SMK1_01;6;G002590
ABF1;ABFI,ARS binding factor 1,ARS1,BAF1,bidirectionally activating factor,EBF2,OBF1,REB2,SBF-B,YKL112W;Y$SPR3_01;6;G002587
band I factor;band I factor;MOUSE$FOS_04;6;G000486
BAP;BAP;XENLA$VITB1_03;6;G000865
BCFI;BCFI;BOMMO$CHOR_02;6;G000031
BCFII;BCFII;BOMMO$CHOR_01;6;G000031
B factor;B factor;DROME$AC5C_01;6;G000090
B factor;B factor;DROME$H3_01;6;G000104
B factor;B factor;DROME$HH4_10;6;G000105
B factor;B factor;DROME$HSP70_09;6;G000109
BGP1;BGP1;AS$BGP1_01;2
BGP1;BGP1;AS$BGP1_02;2
BGP1;BGP1;BGP1$CONS;6
BGP1;BGP1;CHICK$BAG_01;2;G000051
BGP1;BGP1;CHICK$H5_14;4;G000063
Bcd;Bcd,Bicoid,PRD-4;AS$BCD_01;6
Bcd;Bcd,Bicoid,PRD-4;DROME$EMS_11;6;G018869
Bcd;Bcd,Bicoid,PRD-4;DROME$EMS_12;6;G018869
Bcd;Bcd,Bicoid,PRD-4;DROME$EVE_16;6;G000099
Bcd;Bcd,Bicoid,PRD-4;DROME$EVE_18;6;G000099
Bcd;Bcd,Bicoid,PRD-4;DROME$EVE_21;6;G000099
Bcd;Bcd,Bicoid,PRD-4;DROME$EVE_23;6;G000099
Bcd;Bcd,Bicoid,PRD-4;DROME$EVE_27;6;G000099
Bcd;Bcd,Bicoid,PRD-4;DROME$HB_01;2;G000103
Bcd;Bcd,Bicoid,PRD-4;DROME$HB_22;6;G000103
Bcd;Bcd,Bicoid,PRD-4;DROME$HB_23;6;G000103
Bcd;Bcd,Bicoid,PRD-4;DROME$HB_24;6;G000103
Bcd;Bcd,Bicoid,PRD-4;DROME$HB_25;6;G000103
Bcd;Bcd,Bicoid,PRD-4;DROME$HB_26;6;G000103
Bcd;Bcd,Bicoid,PRD-4;DROME$HB_27;6;G000103
Bcd;Bcd,Bicoid,PRD-4;DROME$HB_28;6;G000103
Bcd;Bcd,Bicoid,PRD-4;DROME$HB_29;6;G000103
Bcd;Bcd,Bicoid,PRD-4;DROME$HB_30;6;G000103
Bcd;Bcd,Bicoid,PRD-4;DROME$HB_31;6;G000103
Bcd;Bcd,Bicoid,PRD-4;DROME$H_06;6;G018871
Bcd;Bcd,Bicoid,PRD-4;DROME$H_16;6;G018871
Bcd;Bcd,Bicoid,PRD-4;DROME$H_21;6;G018871
Bcd;Bcd,Bicoid,PRD-4;DROME$H_36;6;G018871
Bcd;Bcd,Bicoid,PRD-4;DROME$H_43;6;G018871
Bcd;Bcd,Bicoid,PRD-4;DROME$H_46;6;G018871
Bcd;Bcd,Bicoid,PRD-4;DROME$H_48;6;G018871
Bcd;Bcd,Bicoid,PRD-4;DROME$H_49;6;G018871
Bcd;Bcd,Bicoid,PRD-4;DROME$H_58;6;G018871
Bcd;Bcd,Bicoid,PRD-4;DROME$H_60;6;G018871
Bcd;Bcd,Bicoid,PRD-4;DROME$KNI_21;6;G000111
Bcd;Bcd,Bicoid,PRD-4;DROME$KNI_23;6;G000111
Bcd;Bcd,Bicoid,PRD-4;DROME$KR_08;6;G000112
Bcd;Bcd,Bicoid,PRD-4;DROME$KR_11;6;G000112
Bcd;Bcd,Bicoid,PRD-4;DROME$KR_13;6;G000112
Bcd;Bcd,Bicoid,PRD-4;DROME$KR_17;6;G000112
Bcd;Bcd,Bicoid,PRD-4;DROME$SALM_02;6;G018883
Bcd;Bcd,Bicoid,PRD-4;DROME$SALM_06;6;G018883
Bcd;Bcd,Bicoid,PRD-4;DROME$SALM_07;6;G018883
Bcd;Bcd,Bicoid,PRD-4;DROME$SALM_08;6;G018883
Bcd;Bcd,Bicoid,PRD-4;DROME$SALM_10;6;G018883
Bcd;Bcd,Bicoid,PRD-4;DROME$SALM_12;6;G018883
Bcd;Bcd,Bicoid,PRD-4;DROME$SALM_17;6;G018883
Bcd;Bcd,Bicoid,PRD-4;DROME$TLL_04;6;G009908
Bcd;Bcd,Bicoid,PRD-4;DROME$TLL_05;6;G009908
Bcd;Bcd,Bicoid,PRD-4;DROME$TLL_06;6;G009908
Bcd;Bcd,Bicoid,PRD-4;DROME$TLL_07;6;G009908
Bcd;Bcd,Bicoid,PRD-4;DROME$TLL_08;6;G009908
Bcd;Bcd,Bicoid,PRD-4;DROME$TLL_09;6;G009908
Bcd;Bcd,Bicoid,PRD-4;DROME$TLL_10;6;G009908
Bcd;Bcd,Bicoid,PRD-4;DROME$TLL_11;6;G009908
BmFTZ-F1;BmFTZ-F1,FTZ-F1 (Drosophila);DROME$FTZ_05;5;G000100
B-Myb;B-Myb,BMYB,MGC15600,MYBL2,v-myb myeloblastosis viral oncogene homolog (avian)-like 2;CHICK$MIM1_03;3;G000066
B-Myb;B-Myb,BMYB,MGC15600,MYBL2,v-myb myeloblastosis viral oncogene homolog (avian)-like 2;HS$BCL2_35;3;G003555
B-Myb;B-Myb,BMYB,MGC15600,MYBL2,v-myb myeloblastosis viral oncogene homolog (avian)-like 2;HS$BCL2_36;3;G003555
B-Myb;B-Myb,BMYB,MGC15600,MYBL2,v-myb myeloblastosis viral oncogene homolog (avian)-like 2;HS$BCL2_37;3;G003555
B-Myb;B-Myb,BMYB,MGC15600,MYBL2,v-myb myeloblastosis viral oncogene homolog (avian)-like 2;HS$IGFBP5_05;3;G004993
B-Myb;B-Myb,BMYB,MGC15600,MYBL2,v-myb myeloblastosis viral oncogene homolog (avian)-like 2;HS$IGFBP5_06;3;G004993
B-Myb;B-Myb,BMYB,MGC15600,MYBL2,v-myb myeloblastosis viral oncogene homolog (avian)-like 2;HS$MYB_11;3;G000220
B-Myb;B-Myb,BMYB,MGC15600,MYBL2,v-myb myeloblastosis viral oncogene homolog (avian)-like 2;HS$MYB_12;3;G000220
BP1;BP1;HS$BG_08;6;G000215
BP1;BP1;HS$BG_09;6;G000215
BP2;BP2;HS$BG_09;6;G000215
BRF1;BRF,BRF1,TAF-70,TDS4,TFIIIB-p70,YGR246C;Y$U6_05;2;G045770
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;HS$AICDA_02;3;G042719
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;HS$CD19_01;3;G000223
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;HS$CD19_02;4;G000223
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;HS$CIITA_19;4;G002341
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;HS$FCER2_07;3;G006053
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;HS$FCER2_08;5;G006053
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;HS$PRDM1_09;3;G014469
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;HS$TERT_59;3;G002001
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;MOUSE$CD79A_04;2;G000554
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;MOUSE$IGH_71;2;G000537
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;MOUSE$PRDX6_11;3;G031002
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;MOUSE$PRDX6_12;3;G031002
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;PAX5$CONS_01;6
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;PAX5$CONS_02;6
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;SU$H2A21_02;6;G000830
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;SU$H2A22_01;6;G000831
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;SU$H2B21_02;6;G000832
Pax-5;B-cell specific activator protein,BSAP,BSAP/PAX-5, B-cell Specific Activating Protein,hPax-5,hPax5,Pax-5,PAX5;SU$H2B22_01;6;G000833
gammaCAAT;CP1,gammaCAAT;HS$GG_17;6;G000261
gammaCAAT;CP1,gammaCAAT;HS$HBE1_32;5;G000253
gammaCAAT;CP1,gammaCAAT;HS$HBE1_38;5;G000253
gammaCAAT;CP1,gammaCAAT;HS$HBE1_45;4;G000253
gammaCAAT;CP1,gammaCAAT;HS$HBE1_48;5;G000253
gammaCAAT;CP1,gammaCAAT;HS$HBE1_52;5;G000253
gammaCAAT;CP1,gammaCAAT;HS$HBE1_60;4;G000253
gammaCAAT;CP1,gammaCAAT;HS$HBE1_64;5;G000253
gammaCAAT;CP1,gammaCAAT;HS$HBE1_67;4;G000253
gammaCAC1;gammaCAC1;HS$GG_13;6;G000261
gammaCAC2;gammaCAC2;HS$GG_13;6;G000261
CAC-binding protein;CAC-binding protein;HS$BG_43;5;G000215
CAC-binding protein;CAC-binding protein;HS$BG_44;5;G000215
CAC-binding protein;CAC-binding protein;HS$BG_48;5;G000215
CAC-binding protein;CAC-binding protein;HS$HBA1_15;6;G000195
CAC-binding protein;CAC-binding protein;HS$PBGD_05;6;G000359
CAC-binding protein;CAC-binding protein;HS$PBGD_06;6;G000359
CAC-binding protein;CAC-binding protein;HS$PBGD_09;6;G000359
CAC-binding protein;CAC-binding protein;MOUSE$PBGD_01;6;G000584
CACCC-binding factor;CACCC-binding factor,htbeta;AS$CACCC_01;2
CACCC-binding factor;CACCC-binding factor,htbeta;CHICK$BAG_05;6;G000051
CACCC-binding factor;CACCC-binding factor,htbeta;HS$APOB_12;6;G000205
CACCC-binding factor;CACCC-binding factor,htbeta;HS$APOB_15;6;G000205
CACCC-binding factor;CACCC-binding factor,htbeta;HS$BG_01;6;G000215
CACCC-binding factor;CACCC-binding factor,htbeta;HS$GG_14;6;G000261
CACCC-binding factor;CACCC-binding factor,htbeta;HS$HBA1_12;6;G000195
CACCC-binding factor;CACCC-binding factor,htbeta;HS$ITGA2B_01;6;G000277
CACCC-binding factor;CACCC-binding factor,htbeta;RAT$TOA_02;6;G000803
CArG box-binding protein;CArG box-binding protein,ECF1,ECF2,ECF3;XENLA$AC_01;4;G000851
CArG box-binding protein;CArG box-binding protein,ECF1,ECF2,ECF3;XENLA$AC_02;4;G000851
CArG box-binding protein;CArG box-binding protein,ECF1,ECF2,ECF3;XENLA$AC_03;4;G000851
Cad;Cad,Caudal;DROME$FTZ_29;3;G000100
Cad;Cad,Caudal;DROME$FTZ_30;3;G000100
Cad;Cad,Caudal;DROME$KNI_22;6;G000111
Cad;Cad,Caudal;DROME$KNI_25;6;G000111
Cad;Cad,Caudal;DROME$KNI_26;6;G000111
Cad;Cad,Caudal;DROME$KNI_27;6;G000111
Cad;Cad,Caudal;DROME$KNI_28;6;G000111
Cad;Cad,Caudal;DROME$KNI_29;6;G000111
Cad;Cad,Caudal;DROME$KNI_31;6;G000111
Cad;Cad,Caudal;DROME$SALM_03;6;G018883
Cad;Cad,Caudal;DROME$SALM_04;6;G018883
Cad;Cad,Caudal;DROME$SALM_05;6;G018883
Cad;Cad,Caudal;DROME$SALM_13;6;G018883
CBF1;CB1,CBF1,centromere and promoter factor 1,centromere element-binding factor 1,CP1,CPF1,YJR060W;AS$CDE1_01;5
CBF1;CB1,CBF1,centromere and promoter factor 1,centromere element-binding factor 1,CP1,CPF1,YJR060W;CPF1$CONS;6
CBF1;CB1,CBF1,centromere and promoter factor 1,centromere element-binding factor 1,CP1,CPF1,YJR060W;Y$CEN12_01;6;G000893
CBF1;CB1,CBF1,centromere and promoter factor 1,centromere element-binding factor 1,CP1,CPF1,YJR060W;Y$CEN6_01;6;G000892
CBF1;CB1,CBF1,centromere and promoter factor 1,centromere element-binding factor 1,CP1,CPF1,YJR060W;Y$CEN9_01;6;G000891
CBF1;CB1,CBF1,centromere and promoter factor 1,centromere element-binding factor 1,CP1,CPF1,YJR060W;Y$CYT1_02;5;G000906
CBF1;CB1,CBF1,centromere and promoter factor 1,centromere element-binding factor 1,CP1,CPF1,YJR060W;Y$GSH1_01;5;G045741
CBF1;CB1,CBF1,centromere and promoter factor 1,centromere element-binding factor 1,CP1,CPF1,YJR060W;Y$MET16_01;1;G001040
CBF1;CB1,CBF1,centromere and promoter factor 1,centromere element-binding factor 1,CP1,CPF1,YJR060W;Y$MET16_02;2;G001040
CBF1;CB1,CBF1,centromere and promoter factor 1,centromere element-binding factor 1,CP1,CPF1,YJR060W;Y$MET28_02;2;G004069
CBF1;CB1,CBF1,centromere and promoter factor 1,centromere element-binding factor 1,CP1,CPF1,YJR060W;Y$PGK_04;2;G000956
